player_id,player_display_name,position,team,week,attempts,passing_yards,carries,rushing_yards,targets,receptions,receiving_yards
00-0033928,Jourdan Lewis,CB,JAX,1,0,0,0,0,0,0,0
00-0033935,Trey Hendrickson,LB,CIN,1,0,0,0,0,0,0,0
00-0033943,Josh Reynolds,WR,NYJ,1,0,0,0,0,3,2,18
00-0033945,Samson Ebukam,DE,IND,1,0,0,0,0,0,0,0
00-0033947,Deatrich Wise,DE,WAS,1,0,0,0,0,0,0,0
00-0033952,Grover Stewart,DT,IND,1,0,0,0,0,0,0,0
00-0033955,Jeremy McNichols,RB,WAS,1,0,0,4,25,0,0,0
00-0033964,Al-Quadin Muhammad,LB,DET,1,0,0,0,0,0,0,0
00-0034067,Scott Daly,LS,CHI,1,0,0,0,0,0,0,0
00-0034159,Will Dissly,TE,LAC,1,0,0,0,0,1,1,18
00-0034160,Michael Dickson,P,SEA,1,0,0,0,0,0,0,0
00-0034161,Daniel Carlson,K,LV,1,0,0,0,0,0,0,0
00-0034162,J.K. Scott,P,LAC,1,0,0,0,0,0,0,0
00-0034163,Jacob Martin,DE,WAS,1,0,0,0,0,0,0,0
00-0034234,Poona Ford,DT,LA,1,0,0,0,0,0,0,0
00-0034251,Daniel Ekuale,DT,PIT,1,0,0,0,0,0,0,0
00-0034261,Austin Corbett,G,CAR,1,0,0,0,0,0,0,0
00-0034270,Tyler Conklin,TE,LAC,1,0,0,1,2,2,2,50
00-0034275,Foley Fatukasi,DT,HOU,1,0,0,0,0,0,0,0
00-0034277,DeShon Elliott,SAF,PIT,1,0,0,0,0,0,0,0
00-0034278,Tremon Smith,CB,HOU,1,0,0,0,0,0,0,0
00-0034285,Zach Sieler,DE,MIA,1,0,0,0,0,0,0,0
00-0034302,Frankie Luvu,LB,WAS,1,0,0,0,0,0,0,0
00-0034333,Daron Payne,NT,WAS,1,0,0,0,0,0,0,0
00-0034344,Marcus Davenport,DE,DET,1,0,0,0,0,0,0,0
00-0034348,Courtland Sutton,WR,DEN,1,0,0,0,0,9,6,61
00-0034351,Dallas Goedert,TE,PHI,1,0,0,0,0,7,7,44
00-0034356,Donte Jackson,CB,LAC,1,0,0,0,0,0,0,0
00-0034359,Tyquan Lewis,DE,IND,1,0,0,0,0,0,0,0
00-0034361,Justin Reid,S,NO,1,0,0,0,0,0,0,0
00-0034371,Da'Shawn Hand,DE,LAC,1,0,0,0,0,0,0,0
00-0034373,Dorance Armstrong,DE,WAS,1,0,0,0,0,0,0,0
00-0034376,Taron Johnson,CB,BUF,1,0,0,0,0,0,0,0
00-0034377,Avonte Maddox,FS,DET,1,0,0,0,0,0,0,0
00-0034381,Josh Sweat,LB,ARI,1,0,0,0,0,0,0,0
00-0034383,Dalton Schultz,TE,HOU,1,0,0,0,0,5,3,28
00-0034384,D.J. Reed,CB,DET,1,0,0,0,0,0,0,0
00-0034386,Justin Watson,WR,HOU,1,0,0,0,0,2,2,27
00-0034391,Siran Neal,DB,SF,1,0,0,0,0,0,0,0
00-0034397,Tim Settle,DT,HOU,1,0,0,0,0,0,0,0
00-0034407,Ray-Ray McCloud,WR,ATL,1,0,0,0,0,5,3,51
00-0034413,Foye Oluokun,LB,JAX,1,0,0,0,0,0,0,0
00-0034431,Zaire Franklin,OLB,IND,1,0,0,0,0,0,0,0
00-0034437,Logan Cooke,P,JAX,1,0,0,0,0,0,0,0
00-0034465,Jeremy Reaves,DB,WAS,1,0,0,0,0,0,0,0
00-0034473,Dennis Gardeck,LB,JAX,1,0,0,0,0,0,0,0
00-0034485,Jonathan Owens,SAF,CHI,1,0,0,0,0,0,0,0
00-0034487,Trent Sherfield,WR,DEN,1,0,0,0,0,1,1,3
00-0034488,Tavierre Thomas,SAF,MIN,1,0,0,0,0,0,0,0
00-0034495,Evan Brown,C,ARI,1,0,0,0,0,0,0,0
00-0034573,Charvarius Ward,CB,IND,1,0,0,0,0,0,0,0
00-0034673,Tremaine Edmunds,MLB,CHI,1,0,0,0,0,0,0,0
00-0034675,Jessie Bates,FS,ATL,1,0,0,0,0,0,0,0
00-0034720,Robert Spillane,LB,NE,1,0,0,0,0,0,0,0
00-0034721,Corey Bojorquez,P,CLE,1,0,0,0,0,0,0,0
00-0034728,Jaire Alexander,CB,BAL,1,0,0,0,0,0,0,0
00-0034753,Mark Andrews,TE,BAL,1,0,0,0,0,1,1,5
00-0034754,Oren Burks,ILB,CIN,1,0,0,0,0,0,0,0
00-0034760,Nathan Shepherd,DE,NO,1,0,0,0,0,0,0,0
00-0034773,Vita Vea,DT,TB,1,0,0,0,0,0,0,0
00-0034778,Carlton Davis III,CB,NE,1,0,0,0,0,0,0,0
00-0034780,Isaac Yiadom,CB,NO,1,0,0,0,0,0,0,0
00-0034782,Harrison Phillips,DT,NYJ,1,0,0,0,0,0,0,0
00-0034789,Minkah Fitzpatrick,FS,MIA,1,0,0,0,0,0,0,0
00-0034790,Derwin James,FS,LAC,1,0,0,0,0,0,0,0
00-0034791,Nick Chubb,RB,HOU,1,0,0,13,60,1,0,0
00-0034796,Lamar Jackson,QB,BAL,1,19,209,6,70,0,0,0
00-0034797,Jerome Baker,OLB,CLE,1,0,0,0,0,0,0,0
00-0034800,B.J. Hill,DE,CIN,1,0,0,0,0,0,0,0
00-0034805,John Franklin-Myers,DE,DEN,1,0,0,0,0,0,0,0
00-0034810,Sebastian Joseph-Day,DT,TEN,1,0,0,0,0,0,0,0
00-0034815,Fred Warner,MLB,SF,1,0,0,0,0,0,0,0
00-0034818,Derrick Nnadi,NT,KC,1,0,0,0,0,0,0,0
00-0034825,Arden Key,DE,TEN,1,0,0,0,0,0,0,0
00-0034827,DJ Moore,WR,CHI,1,0,0,3,8,5,3,68
00-0034828,Harold Landry III,LB,NE,1,0,0,0,0,0,0,0
00-0034829,Mike Gesicki,TE,CIN,1,0,0,0,0,3,1,14
00-0034832,Bradley Chubb,OLB,MIA,1,0,0,0,0,0,0,0
00-0034837,Calvin Ridley,WR,TEN,1,0,0,0,0,8,4,27
00-0034843,Mike Hughes,CB,ATL,1,0,0,0,0,0,0,0
00-0034844,Saquon Barkley,RB,PHI,1,0,0,18,60,5,4,24
00-0034847,Mike McGlinchey,OT,DEN,1,0,0,0,0,0,0,0
00-0034854,KhaDarel Hodge,WR,ATL,1,0,0,0,0,1,0,0
00-0034855,Baker Mayfield,QB,TB,1,32,167,5,39,0,0,0
00-0034856,Denzel Ward,CB,CLE,1,0,0,0,0,0,0,0
00-0034857,Josh Allen,QB,BUF,1,46,394,14,30,0,0,0
00-0034869,Sam Darnold,QB,SEA,1,23,150,2,14,0,0,0
00-0034874,Roquan Smith,ILB,BAL,1,0,0,0,0,0,0,0
00-0034960,Jakobi Meyers,WR,LV,1,0,0,0,0,10,8,97
00-0034967,Rashan Gary,LB,GB,1,0,0,0,0,0,0,0
00-0034968,Darnell Savage,SAF,JAX,1,0,0,0,0,0,0,0
00-0034973,Maxx Crosby,DE,LV,1,0,0,0,0,0,0,0
00-0034974,Julian Love,SAF,SEA,1,0,0,0,0,0,0,0
00-0034975,Justice Hill,RB,BAL,1,0,0,2,-14,2,1,3
00-0034978,Ben Powers,G,DEN,1,0,0,0,0,0,0,0
00-0034983,Hunter Renfrow,WR,CAR,1,0,0,0,0,6,2,11
00-0034987,E.J. Speed,LB,HOU,1,0,0,0,0,0,0,0
00-0034989,Justin Skule,OT,MIN,1,0,0,0,0,0,0,0
00-0034993,Marcus Epps,SAF,PHI,1,0,0,0,0,0,0,0
00-0035021,Ashton Dulin,WR,IND,1,0,0,1,15,0,0,0
00-0035042,Jamie Gillan,P,NYG,1,0,0,0,0,0,0,0
00-0035084,Yosh Nijman,OT,CAR,1,0,0,0,0,0,0,0
00-0035112,Patrick Mekari,OT,JAX,1,0,0,0,0,0,0,0
00-0035125,Alec Ingold,FB,MIA,1,0,0,0,0,2,1,1
00-0035133,Keisean Nixon,DB,GB,1,0,0,0,0,0,0,0
00-0035144,Mack Wilson,LB,ARI,1,0,0,0,0,0,0,0
00-0035149,Nick Allegretti,G,WAS,1,0,0,0,0,0,0,0
00-0035156,Jack Fox,P,DET,1,0,0,0,0,0,0,0
00-0035166,Azeez Al-Shaair,LB,HOU,1,0,0,0,0,0,0,0
00-0035190,AJ Cole,P,LV,1,0,0,0,0,0,0,0
00-0035192,Joey Slye,K,TEN,1,0,0,0,0,0,0,0
00-0035202,Del'Shawn Phillips,LB,LAC,1,0,0,0,0,0,0,0
00-0035208,Olamide Zaccheaus,WR,CHI,1,0,0,0,0,7,4,42
00-0035228,Kyler Murray,QB,ARI,1,29,163,7,38,0,0,0
00-0035229,T.J. Hockenson,TE,MIN,1,0,0,0,0,4,3,15
00-0035230,Ed Oliver,DT,BUF,1,0,0,0,0,0,0,0
00-0035236,Byron Murphy,CB,MIN,1,0,0,0,0,0,0,0
00-0035237,Jawaan Taylor,OT,KC,1,0,0,0,0,0,0,0
00-0035243,Miles Sanders,RB,DAL,1,0,0,4,53,1,1,-3
00-0035248,Zach Allen,DE,DEN,1,0,0,0,0,0,0,0
00-0035249,Josh Oliver,TE,MIN,1,0,0,0,0,1,1,5
00-0035250,Devin Singletary,RB,NYG,1,0,0,3,9,0,0,0
00-0035253,C.J. Gardner-Johnson,SAF,HOU,1,0,0,0,0,0,0,0
00-0035254,Anthony Nelson,LB,TB,1,0,0,0,0,0,0,0
00-0035258,Hjalte Froholdt,G,ARI,1,0,0,0,0,0,0,0
00-0035261,Tony Pollard,RB,TEN,1,0,0,18,60,1,1,29
00-0035262,Drue Tranquill,LB,KC,1,0,0,0,0,0,0,0
00-0035269,Matt Gay,K,WAS,1,0,0,0,0,0,0,0
00-0035272,Andrew Van Ginkel,OLB,MIN,1,0,0,0,0,0,0,0
00-0035276,Blake Cashman,LB,MIN,1,0,0,0,0,0,0,0
00-0035277,Mike Jackson,CB,CAR,1,0,0,0,0,0,0,0
00-0035279,Charles Omenihu,DE,KC,1,0,0,0,0,0,0,0
